id,title,description,url
1,Feelings Hurt - Man Cries,Devin Nunes Sues Twitter for Allowing Accounts to Insult Him,https://www.nytimes.com/2019/03/19/us/politics/devin-nunes-twitter-lawsuit.html
2,Gianormous bees are taking over the world!!!,World's largest bee spotted for the first time since 1981,https://www.cnn.com/2019/02/21/world/giant-bee-megachile-pluto-found-trnd/index.html
3,The sky is falling!!!,US detects huge meteor explosion,https://www.bbc.com/news/science-environment-47607696
4,Vaccuum or Fuzz?,The Fuzzball Fix for a Black Hole Paradox,https://www.quantamagazine.org/how-fuzzballs-solve-the-black-hole-firewall-paradox-20150623/
5,Toy Story 4’s latest trailer proves that Pixar wants adults to cry in movie theaters,"Pixar has released a new trailer for Toy Story 4 — purportedly the last Toy Story film, despite the fact that similar things were said for Toy Story 3 — and along with a better look at what the film is actually about, the trailer makes one thing clear: Pixar wants adults to cry in movie theaters while watching its films.",https://www.theverge.com/2019/3/19/18272463/toy-story-4-trailer-pixar-woody-bo-peep-kids-adults
6,KILL la KILL Gets Release Date and Two DLC Fighters,Arc System Works releases new details regarding their KILL la KILL 3D fighter,https://www.eventhubs.com/news/2019/mar/20/kill-la-kill-if-coming-west-july-mako-and-ultimate-double-naked-dtr-be-free-post-launch-dlc/
